Rank,Time Spent (seconds),Number of People,Category
1,9496,1,Direct
2,6022,1,Indirect
3,3276,1,General News & Opinion
4,2711,1,General Shopping
5,1885,1,Uncategorized
6,1267,1,General Software Development
7,908,1,General Reference & Learning
8,833,1,Search
9,601,1,Eating
10,595,1,General Utilities
11,373,1,Calendars
12,310,1,General Social Networking
13,274,1,General Entertainment
14,194,1,Music
15,132,1,Internet Utilities
16,130,1,Games
17,39,1,Voice Chat
18,30,1,Presentation
19,25,1,Intelligence
