Rank,Time Spent (seconds),Number of People,Category
1,7948,1,Direct
2,5435,1,Indirect
3,1507,1,Eating
4,522,1,General Entertainment
5,356,1,Music
6,304,1,Video Editing
7,297,1,General Utilities
8,120,1,Intelligence
9,79,1,Travel & Outdoors
10,75,1,General News & Opinion
11,35,1,Presentation
12,13,1,General Social Networking
13,11,1,Video
14,6,1,Internet Utilities
15,5,1,Uncategorized
