Rank,Time Spent (seconds),Number of People,Category
1,6395,1,Direct
2,2311,1,Indirect
3,2078,1,Eating
4,1984,1,General Entertainment
5,925,1,General Utilities
6,686,1,Presentation
7,336,1,Music
8,335,1,General Reference & Learning
9,290,1,Uncategorized
10,177,1,Comedy
11,114,1,General News & Opinion
12,103,1,Video Editing
13,39,1,Internet Utilities
14,18,1,Intelligence
15,8,1,Search
